CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Latitude,Longitude,Premise,Total Incidents
12/31/16,23:51:00,4C,1600 E 25TH ST,AGG. ASSAULT,O,OTHER,342,EASTERN,Darley Park,39.31619,-76.59388,STREET,1
12/31/16,23:30:00,4E,5100 PARK HEIGHTS AVE,COMMON ASSAULT,I,HANDS,614,NORTHWESTERN,Central Park Heights,39.34853,-76.6751,RESTAURANT,1
12/31/16,23:30:00,6G,2000 ORLEANS ST,LARCENY,I,,321,EASTERN,CARE,39.29539,-76.58879,RELIGIOUS,1
12/31/16,23:28:00,4C,4800 MIDWOOD AVE,AGG. ASSAULT,O,OTHER,524,NORTHERN,Kenilworth Park,39.34688,-76.60395,STREET,1
12/31/16,23:15:00,5A,100 DIENER PL,BURGLARY,I,,843,SOUTHWESTERN,Irvington,39.28373,-76.68807,OTHER/RESI,1
12/31/16,23:00:00,6E,5600 LOCH RAVEN BLVD,LARCENY,O,,414,NORTHEASTERN,Woodbourne Heights,39.35782,-76.58968,PARKING LO,1
12/31/16,23:00:00,6D,3000 GUILFORD AVE,LARCENY FROM AUTO,I,,512,NORTHERN,Charles Village,39.32503,-76.61335,ROW/TOWNHO,1
12/31/16,22:30:00,3AF,3000 MAYFIELD AVE,ROBBERY - STREET,O,FIREARM,432,NORTHEASTERN,Belair-Edison,39.32116,-76.57115,ALLEY,1
12/31/16,22:05:00,5A,0 N HIGHLAND AVE,BURGLARY,I,,222,SOUTHEASTERN,Patterson Park Neighborho,39.2932,-76.5695,OTHER/RESI,1
12/31/16,22:00:00,6G,4000 LIBERTY HEIGHTS AVE,LARCENY,I,,621,NORTHWESTERN,Central Forest Park,39.32832,-76.68582,OTHER - IN,1
12/31/16,21:30:00,6E,2700 PENNSYLVANIA AVE,LARCENY,O,,733,WESTERN,Penn North,39.31264,-76.64551,STREET,1
12/31/16,21:27:00,4E,2800 DENHAM CIR N,COMMON ASSAULT,I,HANDS,922,SOUTHERN,Cherry Hill,39.2454,-76.62875,ROW/TOWNHO,1
12/31/16,21:25:00,4F,1300 W LAFAYETTE AVE,ASSAULT BY THREAT,I,,713,WESTERN,Harlem Park,39.29899,-76.63934,ROW/TOWNHO,1
12/31/16,21:10:00,3AF,4500 FAIRFAX RD,ROBBERY - STREET,O,FIREARM,641,NORTHWESTERN,West Forest Park,39.31871,-76.69108,STREET,1
12/31/16,21:05:00,4E,2400 MOSHER ST,COMMON ASSAULT,O,HANDS,723,WESTERN,Bridgeview/Greenlawn,39.29957,-76.65529,STREET,1
12/31/16,21:00:00,6D,400 ELRINO ST,LARCENY FROM AUTO,O,,241,SOUTHEASTERN,Bayview,39.28883,-76.54295,STREET,1
12/31/16,20:53:00,4E,3500 ROUND RD,COMMON ASSAULT,I,HANDS,922,SOUTHERN,Cherry Hill,39.24246,-76.62273,ROW/TOWNHO,1
12/31/16,20:45:00,4E,5000 CURTIS AVE,COMMON ASSAULT,O,HANDS,911,SOUTHERN,Curtis Bay,39.22082,-76.58646,STREET,1
12/31/16,20:30:00,3AJF,0 CHERRY HILL RD,ROBBERY - CARJACKING,O,FIREARM,922,SOUTHERN,Middle Branch/Reedbird Pa,39.25266,-76.61681,STREET,1
12/31/16,20:30:00,5A,3200 E LOMBARD ST,BURGLARY,I,,222,SOUTHEASTERN,Patterson Park Neighborho,39.2913,-76.57085,ROW/TOWNHO,1
12/31/16,20:30:00,5A,800 EXETER HALL AVE,BURGLARY,I,,513,NORTHERN,Better Waverly,39.32262,-76.60658,ROW/TOWNHO,1
12/31/16,20:07:00,3AF,4500 PEN LUCY RD,ROBBERY - STREET,O,FIREARM,822,SOUTHWESTERN,Uplands,39.28761,-76.69225,STREET,1
12/31/16,20:00:00,7A,4000 FAIRFAX RD,AUTO THEFT,O,,642,NORTHWESTERN,Concerned Citizens Of For,39.32164,-76.68406,STREET,1
12/31/16,19:54:00,4B,1900 E CHASE ST,AGG. ASSAULT,O,KNIFE,322,EASTERN,Middle East,39.30339,-76.59112,STREET,1
12/31/16,19:30:00,3AF,2400 FREDERICK AVE,ROBBERY - STREET,O,FIREARM,841,SOUTHWESTERN,Millhill,39.284,-76.65492,PARKING LO,1
